id_subject,id_segment,id_error,idt,t,id_BayeSlope,signal,Amplitude,A_pre,A_pre_ratio,A_post,A_post_ratio,Width,W_pre,W_pre_ratio,W_post,W_post_ratio,RR_pre,RR_post,RR_ratio,consecutive_errors,Isolated,error_class_label
2,4,11,1747,1360.9955031969112,22,144,108,150.0,0.72,102.0,1.0588235294117647,25,27.0,0.9259259259259259,25.0,1.0,75.0,73.0,0.9733333333333334,7,0,T-wave
2,4,12,1820,1361.28750394852,23,138,102,108.0,0.9444444444444444,112.0,0.9107142857142857,25,25.0,1.0,22.0,1.1363636363636365,73.0,76.0,1.0410958904109588,8,0,T-wave
2,4,13,1896,1361.5915047310166,24,127,112,102.0,1.0980392156862746,93.0,1.2043010752688172,22,25.0,0.88,24.0,0.9166666666666666,76.0,70.0,0.9210526315789473,9,0,T-wave
2,4,14,1966,1361.8715054517374,25,106,93,112.0,0.8303571428571429,198.0,0.4696969696969697,24,22.0,1.0909090909090908,26.0,0.9230769230769231,70.0,146.0,2.085714285714286,10,0,T-wave
2,4,15,2112,1362.455506954955,26,258,198,93.0,2.129032258064516,62.0,3.193548387096774,26,24.0,1.0833333333333333,27.0,0.9629629629629629,146.0,74.0,0.5068493150684932,11,0,T-wave
2,4,16,2186,1362.7515077168596,27,72,62,198.0,0.31313131313131315,94.0,0.6595744680851063,27,26.0,1.0384615384615385,23.0,1.173913043478261,74.0,76.0,1.027027027027027,12,0,T-wave
2,4,17,2262,1363.0555084993564,28,104,94,62.0,1.5161290322580645,145.0,0.6482758620689655,23,27.0,0.8518518518518519,28.0,0.8214285714285714,76.0,73.0,0.9605263157894737,13,0,T-wave
2,4,18,2335,1363.3475092509652,29,205,145,94.0,1.5425531914893618,70.0,2.0714285714285716,28,23.0,1.2173913043478262,27.0,1.037037037037037,73.0,75.0,1.0273972602739727,14,0,T-wave
2,4,19,2410,1363.647510023166,30,84,70,145.0,0.4827586206896552,138.0,0.5072463768115942,27,28.0,0.9642857142857143,30.0,0.9,75.0,74.0,0.9866666666666667,15,0,T-wave
2,4,20,2484,1363.9435107850707,31,165,138,70.0,1.9714285714285715,165.0,0.8363636363636363,30,27.0,1.1111111111111112,30.0,1.0,74.0,73.0,0.9864864864864865,16,0,T-wave
2,4,21,2557,1364.2355115366795,32,215,165,138.0,1.1956521739130435,129.0,1.2790697674418605,30,30.0,1.0,30.0,1.0,73.0,73.0,1.0,17,0,T-wave
2,4,22,2630,1364.5275122882883,33,147,129,165.0,0.7818181818181819,121.0,1.0661157024793388,30,30.0,1.0,30.0,1.0,73.0,71.0,0.9726027397260274,18,0,T-wave
2,4,23,2701,1364.811513019305,34,138,121,129.0,0.937984496124031,133.0,0.9097744360902256,30,30.0,1.0,30.0,1.0,71.0,77.0,1.0845070422535212,19,0,T-wave
